a
ai
aie
aient
aies
ait
as
au
aura
aurai
auraient
aurais
aurait
auras
aurez
auriez
aurions
aurons
auront
aux
avaient
avais
avait
avec
avez
aviez
avions
avons
ayant
ayez
ayons
c
c'
ce
ceci
cela
celà
ces
cet
cette
d
d'
dans
de
des
du
elle
en
es
est
et
eu
eue
eues
eurent
eus
eusse
eussent
eusses
eussiez
eussions
eut
eux
eûmes
eût
eûtes
furent
fus
fusse
fussent
fusses
fussiez
fussions
fut
fûmes
fût
fûtes
ici
il
ils
j
j'
je
l
l'
la
le
les
leur
leurs
lui
m
m'
ma
mais
me
mes
moi
mon
même
n
n'
ne
nos
notre
nous
on
ont
ou
par
pas
pour
qu
qu'
que
quel
quelle
quelles
quels
qui
s
s'
sa
sans
se
sera
serai
seraient
serais
serait
seras
serez
seriez
serions
serons
seront
ses
soi
soient
sois
soit
sommes
son
sont
soyez
soyons
suis
sur
t
t'
ta
te
tes
toi
ton
tu
un
une
vos
votre
vous
y
à
étaient
étais
était
étant
étiez
étions
été
étée
étées
étés
êtes
alors
au
aucuns
aussi
autre
avant
avec
avoir
bon
car
ce
cela
ces
ceux
chaque
ci
comme
comment
dans
des
du
dedans
dehors
depuis
devrait
doit
donc
dos
début
elle
elles
en
encore
essai
est
et
eu
fait
faites
fois
font
hors
ici
il
ils
je
juste
la
le
les
leur
là
ma
maintenant
mais
mes
mine
moins
mon
mot
même
ni
nommés
notre
nous
ou
où
par
parce
pas
peut
peu
plupart
pour
pourquoi
quand
que
quel
quelle
quelles
quels
qui
sa
sans
ses
seulement
si
sien
son
sont
sous
soyez
sujet
sur
ta
tandis
tellement
tels
tes
ton
tous
tout
trop
très
tu
voient
vont
votre
vous
vu
ça
étaient
état
étions
été
être
@
$
=
actuellement
afin
ainsi
aller
après
aucun
aucune
aucuns
aucunes
autre
autres
assez
aujourd'hui
alors
beaucoup
bientôt
celui
celle
celles
cependant
ceux
chacun
chacune
chaque
chez
complètement
contre
ça
déjà
donc
dont
enfin
ensuite
encore
entre
environ
évidemment
etc
finalement
forcément
franchement
jamais
justement
lors
lorsque
lorsqu'
lorsqu
moins
normalement
parce
peut-être
plus
plutôt
quelques
quelque
chose
quoi
sauf
seulement
si
simplement
souvent
surtout
tant
tel
telle
tels
telles
totalement
toujours
toute
toutes
très
trop
va
vers
veut
veux
voici
voilà
vouloir
vraiment
as-tu
es-tu
c'était
c'est
d'ailleurs
d'avoir
d'en
d'un
d'une
d'y
j'ai
j'avais
j'aurai
j'aurais
j'étais
j'en
j'y
jusqu'
jusqu'à
jusqu'au
jusqu'aux
qu'à
qu'au
qu'en
qu'ils
qu'ils
qu'elle
qu'elles
qu'en
qu'on
qu'une
qu'un
quelqu'un
j'ai
j'avais
j'en
j'es
j'étais
j'y
l'a
l'ai
l'as
l'avais
l'avait
l'en
l'es
l'est
l'étais
l'était
l'ont
l'y
m'a
m'ai
m'as
m'avais
m'avait
m'en
m'es
m'est
m'étais
m'était
m'y
n'a
n'ai
n'as
n'avais
n'avait
n'en
n'es
n'est
n'étais
n'était
n'ont
n'y
s'est
s'était
s'en
s'il
s'ils
t'a
t'ai
t'as
t'avais
t'avait
t'en
t'es
t'est
t'étais
t'était
t'ont
t'y
est-ce
deux
trois
quatre
cinq
six
sept
huit
neuf
dix
ah
amicalement
ben
bcp
bienvenue
bise
bises
bisou
bisous
biz
bonjour
bonsoir
bravo
bref
certes
coucou
courage
ca
d'accord
eh
hello
hop
lol
mdr
merci
non
oh
ok
okay
oui
ouf
qd
qq
qqs
salut
tt
truc
forum
message
messages
filles
amies
t'embrasse
embrasse
embrasser
amitiés
